# frame cabinet cpu host
C02-A04 0 CPU1 141.61.53.150
C02-A04 0 CPU2 141.61.53.83
C02-A04 0 CPU3 141.61.53.142
C02-A04 0 CPU4 141.61.53.138
C02-A04 0 CPU5 141.61.53.110
C02-A04 0 CPU6 141.61.53.106
C02-A04 0 CPU7 141.61.53.146
C02-A04 0 CPU8 141.61.53.98
C02-A07 2 CPU1 141.61.52.35
C02-A07 2 CPU2 141.61.52.39
C02-A07 2 CPU3 141.61.52.43
C02-A07 2 CPU4 141.61.52.47
C02-A07 2 CPU5 141.61.52.75
C02-A07 2 CPU6 141.61.52.79
C02-A07 2 CPU7 141.61.52.83
C02-A07 2 CPU8 141.61.52.87
C02-A09 4 CPU1 141.61.52.116
C02-A09 4 CPU2 141.61.52.120
C02-A09 4 CPU3 141.61.52.128
C02-A09 4 CPU4 141.61.52.124
C02-A09 4 CPU5 141.61.52.156
C02-A09 4 CPU6 141.61.52.160
C02-A09 4 CPU7 141.61.52.164
C02-A09 4 CPU8 141.61.52.167
C02-B05 5 CPU1 141.61.54.57
C02-B05 5 CPU2 141.61.54.53
C02-B05 5 CPU3 141.61.54.45
C02-B05 5 CPU4 141.61.54.49
C02-B05 5 CPU5 141.61.54.17
C02-B05 5 CPU6 141.61.54.13
C02-B05 5 CPU7 141.61.54.9
C02-B05 5 CPU8 141.61.54.5
C02-B07 6 CPU1 141.61.54.91
C02-B07 6 CPU2 141.61.54.139
C02-B07 6 CPU3 141.61.54.131
C02-B07 6 CPU4 141.61.54.127
C02-B07 6 CPU5 141.61.54.99
C02-B07 6 CPU6 141.61.54.95
C02-B07 6 CPU7 141.61.54.87
C02-B07 6 CPU8 141.61.54.135
C02-B08 7 CPU1 141.61.54.220
C02-B08 7 CPU2 141.61.54.216
C02-B08 7 CPU3 141.61.54.212
C02-B08 7 CPU4 141.61.54.208
C02-B08 7 CPU5 141.61.54.180
C02-B08 7 CPU6 141.61.54.176
C02-B08 7 CPU7 141.61.54.172
C02-B08 7 CPU8 141.61.54.168
C02-B09 8 CPU1 141.61.55.42
C02-B09 8 CPU2 141.61.55.38
C02-B09 8 CPU3 141.61.55.2
C02-B09 8 CPU4 141.61.55.30
C02-B09 8 CPU5 141.61.54.252
C02-B09 8 CPU6 141.61.55.34
C02-B09 8 CPU7 141.61.54.248
C02-B09 8 CPU8 141.61.54.244
C02-B10 9 CPU1 141.61.55.118
C02-B10 9 CPU2 141.61.55.114
C02-B10 9 CPU3 141.61.55.110
C02-B10 9 CPU4 141.61.55.106
C02-B10 9 CPU5 141.61.55.78
C02-B10 9 CPU6 141.61.55.74
C02-B10 9 CPU7 141.61.55.70
C02-B10 9 CPU8 141.61.55.66
C04-B03 14 CPU1 141.62.17.192
C04-B03 14 CPU2 141.62.17.184
C04-B03 14 CPU3 141.62.17.188
C04-B03 14 CPU4 141.62.17.180
C04-B03 14 CPU5 141.62.17.122
C04-B03 14 CPU6 141.62.17.118
C04-B03 14 CPU7 141.62.17.114
C04-B03 14 CPU8 141.62.17.110
C04-B04 15 CPU1 141.62.17.70
C04-B04 15 CPU2 141.62.17.66
C04-B04 15 CPU3 141.62.17.62
C04-B04 15 CPU4 141.62.17.58
C04-B04 15 CPU5 141.62.17.30
C04-B04 15 CPU6 141.62.17.26
C04-B04 15 CPU7 141.62.17.22
C04-B04 15 CPU8 141.62.17.18
